,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S
496,135.1443475,-7.631865579,989.7264978,1.790704475,407.6940442,0.001606421,0.985357266,0.017404995,0.298441022,0.684123326,0.014082005,0.00332299,1.16726255,1.276417768,1.529062465,0.999281581,0.000718419,0,15.44858595,15.44858595,10.83415043,3.260696753,0,11.77972882,0.809078373,0.889004012,397.4203742,24.29155005,5.241981369,0.129993545,0.002742051,0.000342357,2.77E-05,6.54E-06,0.036806631,0.127146795,0.224494429,11.7875383,0,0,0,-8.600059735,932.1816999,5360.114555,2.144557451,0.017404995,0.298441022,0.684123326,0.014082005,0.00332299,0.999281581,0.000718419,0,39.30614839
497,134.8776589,-7.632126894,989.6776969,1.79065821,406.5432984,0.001606348,0.985335845,0.017436168,0.298995312,0.683537812,0.014105017,0.003331151,1.166449845,1.275604434,1.532390186,0.999279846,0.000720154,0,15.48296615,15.48296615,10.85404663,3.268233643,0,11.80114263,0.808951652,0.889006668,397.3641475,24.26775735,5.240834116,0.129993545,0.002741919,0.000342331,2.78E-05,6.58E-06,0.036806663,0.127146478,0.224495015,11.7875383,0,0,0,-8.600263576,932.2305872,5360.083637,2.144899237,0.017436168,0.298995312,0.683537812,0.014105017,0.003331151,0.999279846,0.000720154,0,39.20229621
498,134.6109703,-7.632388136,989.6286272,1.790611684,405.3926476,0.001606274,0.985314621,0.017467458,0.299551661,0.682950121,0.014128116,0.003339342,1.165637819,1.274791689,1.535733041,0.999278108,0.000721892,0,15.51750682,15.51750682,10.87402093,3.275799339,0,11.82264034,0.808824955,0.889009353,397.3078205,24.24398101,5.239682858,0.129993545,0.002741787,0.000342305,2.80E-05,6.61E-06,0.036806696,0.12714616,0.224495607,11.7875383,0,0,0,-8.600467417,932.2794895,5360.052545,2.145240312,0.017467458,0.299551661,0.682950121,0.014128116,0.003339342,0.999278108,0.000721892,0,39.09842575
499,134.3442818,-7.632649304,989.5792863,1.790564894,404.242092,0.0016062,0.985293594,0.017498868,0.30011008,0.68236024,0.014151304,0.003347563,1.164826471,1.273979532,1.539091133,0.999276368,0.000723632,0,15.55220909,15.55220909,10.89407378,3.283393999,0,11.84422243,0.808698281,0.889012067,397.2513923,24.22022099,5.238527566,0.129993545,0.002741654,0.000342279,2.81E-05,6.64E-06,0.03680673,0.12714584,0.224496205,11.7875383,0,0,0,-8.600671257,932.3284069,5360.021276,2.145580669,0.017498868,0.30011008,0.68236024,0.014151304,0.003347563,0.999276368,0.000723632,0,38.99453705
500,134.0775932,-7.632910397,989.5296722,1.790517838,403.0916319,0.001606125,0.985272764,0.017530396,0.300670582,0.681768157,0.014174581,0.003355815,1.164015801,1.273167964,1.542464565,0.999274624,0.000725376,0,15.58707409,15.58707409,10.91420566,3.291017785,0,11.8658894,0.808571633,0.889014811,397.1948622,24.19647724,5.237368212,0.129993545,0.00274152,0.000342253,2.82E-05,6.68E-06,0.036806765,0.127145519,0.224496811,11.7875383,0,0,0,-8.600875098,932.3773396,5359.98983,2.145920302,0.017530396,0.300670582,0.681768157,0.014174581,0.003355815,0.999274624,0.000725376,0,38.89063013
501,133.8109047,-7.633171415,989.4797826,1.790470514,401.9412675,0.00160605,0.985252131,0.017562045,0.301233179,0.681173859,0.014197948,0.003364097,1.16320581,1.272356983,1.545853441,0.999272877,0.000727123,0,15.62210295,15.62210295,10.93441703,3.298670857,0,11.88764176,0.808445011,0.889017585,397.1382292,24.17274973,5.236204766,0.129993545,0.002741386,0.000342227,2.83E-05,6.71E-06,0.036806801,0.127145197,0.224497422,11.7875383,0,0,0,-8.601078939,932.4262876,5359.958205,2.146259202,0.017562045,0.301233179,0.681173859,0.014197948,0.003364097,0.999272877,0.000727123,0,38.78670502
502,133.5442161,-7.633432357,989.4296151,1.790422919,400.7909992,0.001605975,0.985231697,0.017593814,0.301797882,0.680577334,0.014221404,0.00337241,1.162396496,1.271546589,1.549257866,0.999271127,0.000728873,0,15.65729682,15.65729682,10.95470835,3.306353384,0,11.90947999,0.808318416,0.889020389,397.0814931,24.14903842,5.235037203,0.129993545,0.00274125,0.0003422,2.85E-05,6.75E-06,0.036806838,0.127144873,0.224498041,11.7875383,0,0,0,-8.60128278,932.4752511,5359.926398,2.146597367,0.017593814,0.301797882,0.680577334,0.014221404,0.00337241,0.999271127,0.000728873,0,38.68276176
503,133.2775275,-7.633693222,989.3791675,1.790375052,399.640827,0.001605899,0.985211459,0.017625705,0.302364703,0.679978569,0.014244951,0.003380754,1.161587861,1.270736783,1.552677945,0.999269373,0.000730627,0,15.69265688,15.69265688,10.9750801,3.314065525,0,11.93140462,0.808191849,0.889023223,397.0246523,24.12534326,5.233865489,0.129993545,0.002741115,0.000342173,2.86E-05,6.79E-06,0.036806876,0.127144547,0.224498666,11.7875383,0,0,0,-8.60148662,932.5242301,5359.89441,2.146934787,0.017625705,0.302364703,0.679978569,0.014244951,0.003380754,0.999269373,0.000730627,0,38.57880038
504,133.010839,-7.63395401,989.3284374,1.79032691,398.4907515,0.001605823,0.985191418,0.017657718,0.302933655,0.679377552,0.01426859,0.003389129,1.160779904,1.269927564,1.556113787,0.999267617,0.000732383,0,15.72818428,15.72818428,10.99553276,3.321807444,0,11.95341615,0.808065311,0.889026087,396.967706,24.10166423,5.232689593,0.129993545,0.002740978,0.000342146,2.87E-05,6.82E-06,0.036806915,0.12714422,0.224499298,11.7875383,0,0,0,-8.601690461,932.5732249,5359.862238,2.147271452,0.017657718,0.302933655,0.679377552,0.01426859,0.003389129,0.999267617,0.000732383,0,38.4748209
505,132.7441504,-7.63421472,989.2774225,1.79027849,397.3407726,0.001605746,0.985171575,0.017689854,0.303504749,0.678774269,0.01429232,0.003397535,1.159972625,1.269118933,1.559565497,0.999265857,0.000734143,0,15.76388021,15.76388021,11.01606681,3.329579312,0,11.9755151,0.807938802,0.889028982,396.9106536,24.07800128,5.231509488,0.129993545,0.002740841,0.000342119,2.88E-05,6.86E-06,0.036806954,0.127143891,0.224499936,11.7875383,0,0,0,-8.601894302,932.6222354,5359.829881,2.14760736,0.017689854,0.303504749,0.678774269,0.01429232,0.003397535,0.999265857,0.000734143,0,38.37082337
